origin_id,destination_id,distance [m]
23,0,65441.75165
23,17,25213.54488
23,18,20458.38126
23,20,12742.19128
23,21,5610.63314
23,23,
23,24,12045.619
23,25,17014.74511
23,29,23025.39092
23,30,25424.10113
23,31,28541.75285
23,32,30172.83729
23,33,28885.65051
23,35,33008.95519
23,36,37673.50402
23,38,35907.84246
23,39,36372.75605
23,40,38934.74171
23,41,41584.54679
23,48,79436.33165
23,52,94958.23865
23,53,94526.96218
23,54,88007.92564
23,57,82195.69057
23,58,80309.47589
23,60,69022.2925
23,61,64551.96105
23,62,66185.99616
23,63,61437.97567
23,64,56619.16179
23,66,58147.82845
23,67,52855.24459
23,68,45476.69152
23,69,46022.16649
23,77,4317.972421
23,82,26338.89888
23,83,28581.75298
23,84,27695.16933
23,85,29843.20169
23,86,29254.79797
23,87,32856.7677
23,88,36180.17105
23,89,39787.86934
23,90,50044.64494
24,0,74560.03586
24,17,34331.82909
24,18,29576.66547
24,20,21860.47549
24,21,14728.91735
24,23,12045.619
24,24,
24,25,5397.21191
24,29,11407.85772
24,30,13806.56793
24,31,16924.21965
24,32,18555.30409
24,33,17268.1173
24,35,21391.42199
24,36,26055.97082
24,38,24290.30925
24,39,24755.22285
24,40,27317.20851
24,41,29967.01358
24,48,67818.79845
24,52,83340.70545
24,53,82909.42898
24,54,76390.39243
24,57,70578.15736
24,58,68691.94269
24,60,57404.7593
24,61,52934.42785
24,62,54568.46295
24,63,49820.44247
24,64,45001.62859
24,66,46530.29525
24,67,41237.71139
24,68,33859.15832
24,69,34404.63328
24,77,7988.384063
24,82,35457.1831
24,83,37700.03719
24,84,36813.45354
24,85,38961.4859
24,86,38373.08218
24,87,41975.05191
24,88,45298.45526
24,89,48906.15355
24,90,59162.92915
25,0,79529.16198
25,17,39300.95521
25,18,34545.79159
25,20,26829.60161
25,21,19698.04347
25,23,17014.74511
25,24,5397.21191
25,25,
25,29,7013.189854
25,30,9411.900065
25,31,12529.55178
25,32,14160.63622
25,33,12873.44944
25,35,16996.75412
25,36,21661.30295
25,38,19895.64139
25,39,20360.55498
25,40,22922.54064
25,41,25572.34572
25,48,63424.13058
25,52,78946.03758
25,53,78514.76111
25,54,71995.72457
25,57,66183.4895
25,58,64297.27482
25,60,53010.09143
25,61,48539.75998
25,62,50173.79509
25,63,45425.7746
25,64,40606.96072
25,66,42135.62738
25,67,36843.04352
25,68,29464.49045
25,69,30009.96542
25,77,12957.51018
25,82,40426.30921
25,83,42669.16331
25,84,41782.57966
25,85,43930.61202
25,86,43342.2083
25,87,46944.17803
25,88,50267.58138
25,89,53875.27967
25,90,64132.05527
29,0,85539.80779
29,17,45311.60102
29,18,40556.4374
29,20,32840.24742
29,21,25708.68928
29,23,23025.39092
29,24,11407.85772
29,25,7013.189854
29,29,
29,30,3340.214628
29,31,6457.866346
29,32,8088.950784
29,33,6801.764
29,35,10925.06868
29,36,15589.61751
29,38,13823.95595
29,39,14288.86954
29,40,16850.8552
29,41,19500.66028
29,48,57352.44514
29,52,72874.35214
29,53,72443.07568
29,54,65924.03913
29,57,60111.80406
29,58,58225.58938
29,60,46938.40599
29,61,42468.07454
29,62,44102.10965
29,63,39354.08917
29,64,34535.27528
29,66,36063.94194
29,67,30771.35808
29,68,23392.80502
29,69,23938.27998
29,77,18968.15599
29,82,46436.95503
29,83,48679.80912
29,84,47793.22547
29,85,49941.25783
29,86,49352.85411
29,87,52954.82384
29,88,56278.22719
29,89,59885.92548
29,90,70142.70108
30,0,87938.518
30,17,47710.31123
30,18,42955.14761
30,20,35238.95763
30,21,28107.39949
30,23,25424.10113
30,24,13806.56793
30,25,9411.900065
30,29,3340.214628
30,30,
30,31,5293.900078
30,32,6924.984516
30,33,5637.797732
30,35,9761.102412
30,36,14425.65124
30,38,12659.98968
30,39,13124.90327
30,40,15686.88894
30,41,18336.69401
30,48,56188.47887
30,52,71710.38587
30,53,71279.10941
30,54,64760.07286
30,57,58947.83779
30,58,57061.62311
30,60,45774.43973
30,61,41304.10828
30,62,42938.14338
30,63,38190.1229
30,64,33371.30901
30,66,34899.97567
30,67,29607.39181
30,68,22228.83875
30,69,22774.31371
30,77,21366.8662
30,82,48835.66524
30,83,51078.51933
30,84,50191.93568
30,85,52339.96804
30,86,51751.56432
30,87,55353.53405
30,88,58676.9374
30,89,62284.63569
30,90,72541.41129
31,0,91056.16972
31,17,50827.96295
